i: 1000000, x: 0.000000, y: 0.000000
i: 2000000, x: 0.000000, y: 0.000000
i: 3000000, x: 0.000000, y: 0.000000
i: 4000000, x: 0.000000, y: 0.000000
i: 5000000, x: 0.000000, y: 0.000000
i: 6000000, x: 0.000000, y: 0.000000
i: 7000000, x: 0.000000, y: 0.000000
i: 8000000, x: 0.000000, y: 0.000000
i: 9000000, x: 0.000000, y: 0.000000
i: 10000000, x: 0.000000, y: 0.000000
i: 11000000, x: 0.000000, y: 0.000000
i: 12000000, x: 0.000000, y: 0.000000
i: 13000000, x: 0.000000, y: 0.000000
i: 14000000, x: 0.000000, y: 0.000000
i: 15000000, x: 0.000000, y: 0.000000
i: 16000000, x: 0.000000, y: 0.000000
i: 17000000, x: 0.000000, y: 0.000000
i: 18000000, x: 0.000000, y: 0.000000
i: 19000000, x: 0.000000, y: 0.000000
i: 20000000, x: 0.000000, y: 0.000000
i: 21000000, x: 0.000000, y: 0.000000
i: 22000000, x: 0.000000, y: 0.000000
i: 23000000, x: 0.000000, y: 0.000000
i: 24000000, x: 0.000000, y: 0.000000
i: 25000000, x: 0.000000, y: 0.000000
i: 26000000, x: 0.000000, y: 0.000000
i: 27000000, x: 0.000000, y: 0.000000
i: 28000000, x: 0.000000, y: 0.000000
i: 29000000, x: 0.000000, y: 0.000000
i: 30000000, x: 0.000000, y: 0.000000
i: 31000000, x: 0.000000, y: 0.000000
i: 32000000, x: 0.000000, y: 0.000000
i: 33000000, x: 0.000000, y: 0.000000
i: 34000000, x: 0.000000, y: 0.000000
i: 35000000, x: 0.000000, y: 0.000000
i: 36000000, x: 0.000000, y: 0.000000
i: 37000000, x: 0.000000, y: 0.000000
i: 38000000, x: 0.000000, y: 0.000000
i: 39000000, x: 0.000000, y: 0.000000
i: 40000000, x: 0.000000, y: 0.000000
i: 41000000, x: 0.000000, y: 0.000000
i: 42000000, x: 0.000000, y: 0.000000
i: 43000000, x: 0.000000, y: 0.000000
i: 44000000, x: 0.000000, y: 0.000000
i: 45000000, x: 0.000000, y: 0.000000
i: 46000000, x: 0.000000, y: 0.000000
i: 47000000, x: 0.000000, y: 0.000000
i: 48000000, x: 0.000000, y: 0.000000
i: 49000000, x: 0.000000, y: 0.000000
i: 50000000, x: 0.000000, y: 0.000000
i: 51000000, x: 0.000000, y: 0.000000
i: 52000000, x: 0.000000, y: 0.000000
i: 53000000, x: 0.000000, y: 0.000000
i: 54000000, x: 0.000000, y: 0.000000
i: 55000000, x: 0.000000, y: 0.000000
i: 56000000, x: 0.000000, y: 0.000000
i: 57000000, x: 0.000000, y: 0.000000
i: 58000000, x: 0.000000, y: 0.000000
i: 59000000, x: 0.000000, y: 0.000000
i: 60000000, x: 0.000000, y: 0.000000
i: 61000000, x: 0.000000, y: 0.000000
i: 62000000, x: 0.000000, y: 0.000000
i: 63000000, x: 0.000000, y: 0.000000
i: 64000000, x: 0.000000, y: 0.000000
i: 65000000, x: 0.000000, y: 0.000000
i: 66000000, x: 0.000000, y: 0.000000
i: 67000000, x: 0.000000, y: 0.000000
i: 68000000, x: 0.000000, y: 0.000000
i: 69000000, x: 0.000000, y: 0.000000
i: 70000000, x: 0.000000, y: 0.000000
i: 71000000, x: 0.000000, y: 0.000000
i: 72000000, x: 0.000000, y: 0.000000
i: 73000000, x: 0.000000, y: 0.000000
i: 74000000, x: 0.000000, y: 0.000000
i: 75000000, x: 0.000000, y: 0.000000
i: 76000000, x: 0.000000, y: 0.000000
i: 77000000, x: 0.000000, y: 0.000000
i: 78000000, x: 0.000000, y: 0.000000
i: 79000000, x: 0.000000, y: 0.000000
i: 80000000, x: 0.000000, y: 0.000000
i: 81000000, x: 0.000000, y: 0.000000
i: 82000000, x: 0.000000, y: 0.000000
i: 83000000, x: 0.000000, y: 0.000000
i: 84000000, x: 0.000000, y: 0.000000
i: 85000000, x: 0.000000, y: 0.000000
i: 86000000, x: 0.000000, y: 0.000000
i: 87000000, x: 0.000000, y: 0.000000
i: 88000000, x: 0.000000, y: 0.000000
i: 89000000, x: 0.000000, y: 0.000000
i: 90000000, x: 0.000000, y: 0.000000
i: 91000000, x: 0.000000, y: 0.000000
i: 92000000, x: 0.000000, y: 0.000000
i: 93000000, x: 0.000000, y: 0.000000
i: 94000000, x: 0.000000, y: 0.000000
i: 95000000, x: 0.000000, y: 0.000000
i: 96000000, x: 0.000000, y: 0.000000
i: 97000000, x: 0.000000, y: 0.000000
i: 98000000, x: 0.000000, y: 0.000000
i: 99000000, x: 0.000000, y: 0.000000
